Archivo;|S11|;aS11;|S21|;aS21;|S12|;aS12;|S22|;aS22;K;|D|;G(dB);Tipo;|rS|;arS;|rL|;arL;Zin(s);Zout(s);Top_in;Xin(p);Comp_in;Z0_QWin(Ohm);Top_out;Xout(p);Comp_out;Z0_QWout(Ohm)
BFP520_w_noise_VCE_2.0V_IC_45mA;0,202;-167,0;10,248;79,0;0,046;63,0;0,386;-56,0;1,017;0,399;22,64;GT(max);0.785;164.8;0.831;54.9; 6.13-j6.59; 21.09-j92.56;Despues L/4; j46.55;1.710 pF;17.51;Despues L/4; j11.39;6.985 pF;32.47
BFP520_w_noise_VCE_2.5V_IC_50mA;0,201;-172,0;10,093;79,0;0,043;65,0;0,422;-50,0;1,037;0,351;22,5;GT(max);0.713;169.0;0.785;48.9; 8.44-j4.70; 32.82-j101.35;Despues L/4; j89.86;0.886 pF;20.54;Despues L/4; j16.19;4.916 pF;40.51
BFP520_w_noise_VCE_1.5V_IC_40mA;0,222;-167,0;9,963;78,0;0,051;60,0;0,337;-65,0;1,012;0,433;22,26;GT(max);0.81;162.7;0.836;62.1; 5.37-j7.51; 16.46-j80.64;Despues L/4; j35.77;2.225 pF;16.39;Despues L/4; j10.21;7.796 pF;28.69
BFP520_w_noise_VCE_2.0V_IC_50mA;0,235;-178,0;9,398;78,0;0,046;63,0;0,376;-53,0;1,073;0,344;21,48;GT(max);0.64;173.0;0.698;50.8; 11.03-j2.93; 42.41-j89.52;Despues L/4; j188.46;0.422 pF;23.48;Despues L/4; j23.69;3.360 pF;46.05
BFP520_w_noise_VCE_2.5V_IC_55mA;0,244;177,0;9,084;78,0;0,042;64,0;0,418;-47,0;1,105;0,285;21,36;GT(max);0.617;177.5;0.695;44.7; 11.84-j1.04; 52.19-j98.78;Despues L/4; j571.01;0.139 pF;24.33;Despues L/4; j26.42;3.012 pF;51.08
BFP520_w_noise_VCE_1.5V_IC_45mA;0,256;-178,0;9,086;77,0;0,051;60,0;0,313;-63,0;1,07;0,384;20,93;GT(max);0.633;171.3;0.658;58.3; 11.28-j3.62; 38.21-j75.48;Despues L/4; j155.76;0.511 pF;23.75;Despues L/4; j25.31;3.144 pF;43.71
BFP520_w_noise_VCE_1.0V_IC_35mA;0,29;-177,0;8,613;76,0;0,058;55,0;0,248;-85,0;1,046;0,443;20,38;GT(max);0.676;166.6;0.659;72.8; 9.79-j5.66; 27.05-j60.24;Despues L/4; j86.46;0.920 pF;22.13;Despues L/4; j22.45;3.545 pF;36.78
BFP520_w_noise_VCE_2.0V_IC_55mA;0,295;171,0;8,08;76,0;0,045;62,0;0,357;-50,0;1,175;0,265;20,0;GT(max);0.573;-176.9;0.606;46.1; 13.58+j1.24; 60.04-j82.78;Antes L/4; j149.59;0.532 pF;26.17;Despues L/4; j36.26;2.194 pF;54.79
BFP520_w_noise_VCE_2.5V_IC_60mA;0,311;168,0;7,691;76,0;0,041;64,0;0,407;-43,0;1,226;0,198;19,85;GT(max);0.574;-173.0;0.627;40.3; 13.56+j2.84; 69.52-j92.83;Antes L/4; j67.48;1.179 pF;26.61;Despues L/4; j37.44;2.125 pF;58.96
BFP520_w_noise_VCE_1.5V_IC_50mA;0,323;171,0;7,603;75,0;0,051;58,0;0,27;-62,0;1,187;0,309;19,13;GT(max);0.556;-177.2;0.526;53.9; 14.30+j1.13; 55.01-j64.69;Antes L/4; j182.62;0.436 pF;26.82;Despues L/4; j42.52;1.872 pF;52.44
BFP520_w_noise_VCE_2.0V_IC_60mA;0,376;164,0;6,497;74,0;0,045;60,0;0,327;-47,0;1,343;0,178;18,1;GT(max);0.561;-167.4;0.531;41.8; 14.23+j5.08; 73.23-j72.24;Antes L/4; j44.91;1.772 pF;28.33;Despues L/4; j50.69;1.570 pF;60.51
BFP520_w_noise_VCE_1.0V_IC_40mA;0,368;171,0;6,828;73,0;0,061;52,0;0,177;-101,0;1,181;0,381;17,94;GT(max);0.544;-179.5;0.426;73.0; 14.75+j0.21; 43.87-j43.66;Antes L/4; j1028.92;0.077 pF;27.16;Despues L/4; j50.25;1.584 pF;46.84
BFP520_w_noise_VCE_0.5V_IC_20mA;0,424;176,0;5,875;72,0;0,077;42,0;0,235;-150,0;1,083;0,458;17,09;GT(max);0.647;169.8;0.528;106.4; 10.81-j4.25; 22.86-j32.13;Despues L/4; j127.30;0.625 pF;23.25;Despues L/4; j35.57;2.237 pF;33.81
BFP520_w_noise_VCE_1.5V_IC_55mA;0,413;163,0;5,816;72,0;0,052;56,0;0,208;-62,0;1,382;0,23;16,78;GT(max);0.547;-166.3;0.414;50.3; 14.84+j5.47; 64.51-j49.62;Antes L/4; j45.71;1.741 pF;29.03;Despues L/4; j65.01;1.224 pF;56.79
BFP520_w_noise_VCE_1.0V_IC_45mA;0,479;161,0;4,567;70,0;0,065;49,0;0,128;-146,0;1,441;0,316;14,53;GT(max);0.537;-165.8;0.235;81.5; 15.29+j5.67; 47.95-j23.55;Antes L/4; j46.88;1.698 pF;29.49;Despues L/4; j101.80;0.782 pF;48.96
BFP520_w_noise_VCE_1.5V_IC_60mA;0,502;157,0;4,248;70,0;0,054;53,0;0,142;-64,0;1,648;0,172;14,24;GT(max);0.577;-159.1;0.319;48.5; 13.85+j8.54; 66.14-j35.16;Antes L/4; j31.01;2.566 pF;30.92;Despues L/4; j94.05;0.846 pF;57.51
BFP520_w_noise_VCE_1.0V_IC_50mA;0,577;155,0;2,88;67,0;0,069;46,0;0,177;174,0;1,798;0,288;11,01;GT(max);0.585;-157.7;0.123;116.0; 13.56+j9.15; 43.82-j9.87;Antes L/4; j29.24;2.722 pF;31.41;Despues L/4; j222.12;0.358 pF;46.81
BFP520_w_noise_VCE_0.5V_IC_25mA;0,576;158,0;2,66;66,0;0,085;36,0;0,365;164,0;1,548;0,411;10,57;GT(max);0.56;-165.4;0.285;165.4; 14.30+j5.90; 28.17-j4.40;Antes L/4; j40.55;1.962 pF;28.92;Despues L/4; j319.86;0.249 pF;37.53
BFP520_w_noise_VCE_1.0V_IC_55mA;0,65;151,0;1,941;63,0;0,073;44,0;0,242;162,0;2,121;0,291;8,22;GT(max);0.642;-152.9;0.13;161.7; 11.49+j11.44; 38.93-j3.22;Antes L/4; j22.99;3.462 pF;33.82;Despues L/4; j604.64;0.132 pF;44.12
BFP520_w_noise_VCE_1.0V_IC_60mA;0,703;149,0;1,445;60,0;0,076;42,0;0,293;158,0;2,333;0,31;6,29;GT(max);0.69;-149.9;0.175;179.1; 9.82+j12.97; 35.09-j0.19;Antes L/4; j20.40;3.900 pF;36.72;Despues L/4; j9199.55;0.009 pF;41.89
BFP520_w_noise_VCE_0.5V_IC_30mA;0,686;151,0;1,186;60,0;0,093;33,0;0,484;154,0;2,178;0,43;4,92;GT(max);0.651;-154.1;0.389;-165.9; 11.12+j10.95; 22.26+j4.99;Antes L/4; j22.24;3.579 pF;33.09;Antes L/4; j104.30;0.763 pF;34.19
BFP520_w_noise_VCE_0.5V_IC_35mA;0,749;147,0;0,713;54,0;0,098;32,0;0,55;152,0;2,565;0,472;1,69;GT(max);0.719;-149.4;0.47;-160.5; 8.78+j13.29; 18.47+j7.47;Antes L/4; j19.09;4.168 pF;38.02;Antes L/4; j53.16;1.497 pF;32.78
BFP520_w_noise_VCE_0.5V_IC_40mA;0,788;145,0;0,493;49,0;0,102;31,0;0,605;151,0;2,79;0,518;-0,49;GT(max);0.762;-146.9;0.537;-158.0; 7.36+j14.57; 15.56+j8.79;Antes L/4; j18.28;4.353 pF;42.55;Antes L/4; j36.32;2.191 pF;32.04
BFP520_w_noise_VCE_0.5V_IC_45mA;0,814;144,0;0,355;45,0;0,106;30,0;0,655;150,0;3,004;0,563;-2,4;GT(max);0.79;-145.5;0.599;-156.0; 6.43+j15.29; 13.06+j9.94;Antes L/4; j18.00;4.422 pF;46.27;Antes L/4; j27.10;2.936 pF;32.12
BFP520_w_noise_VCE_0.5V_IC_50mA;0,833;143,0;0,265;41,0;0,108;30,0;0,698;150,0;3,2;0,603;-4,06;GT(max);0.811;-144.6;0.651;-154.4; 5.74+j15.75; 11.09+j10.83;Antes L/4; j17.84;4.460 pF;49.47;Antes L/4; j22.19;3.585 pF;32.92
BFP520_w_noise_VCE_0.5V_IC_55mA;0,849;142,0;0,2;39,0;0,11;30,0;0,737;149,0;3,387;0,641;-5,61;GT(max);0.829;-143.9;0.697;-152.9; 5.17+j16.15; 9.41+j11.63;Antes L/4; j17.81;4.468 pF;52.73;Antes L/4; j19.24;4.136 pF;34.48
BFP520_w_noise_VCE_0.5V_IC_60mA;0,852;142,0;0,189;38,0;0,11;30,0;0,745;149,0;3,409;0,65;-5,89;GT(max);0.833;-143.7;0.707;-152.7; 5.06+j16.22; 9.07+j11.76;Antes L/4; j17.80;4.472 pF;53.43;Antes L/4; j18.76;4.242 pF;34.87
