Archivo;|S11|;aS11;|S21|;aS21;|S12|;aS12;|S22|;aS22;K;|D|;G(dB);Tipo;|rS|;arS;|rL|;arL;Zin(s);Zout(s);Top_in;Xin(p);Comp_in;Z0_QWin(Ohm);Top_out;Xout(p);Comp_out;Z0_QWout(Ohm)
BFP520_w_noise_VCE_0.5V_IC_1.0mA;0,814;-71,0;3,136;117,0;0,128;45,0;0,777;-46,0;0,265;0,692;13,91;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_1.5mA;0,746;-80,0;4,24;111,0;0,119;42,0;0,725;-53,0;0,312;0,63;15,51;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_2.0mA;0,69;-87,0;5,03;107,0;0,112;40,0;0,68;-58,0;0,357;0,584;16,51;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_3.0mA;0,598;-99,0;6,172;100,0;0,101;39,0;0,601;-65,0;0,446;0,525;17,85;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_4.0mA;0,534;-108,0;6,859;95,0;0,094;38,0;0,543;-71,0;0,52;0,498;18,65;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_5.0mA;0,484;-115,0;7,352;92,0;0,088;39,0;0,494;-75,0;0,586;0,483;19,23;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_6.0mA;0,446;-122,0;7,685;89,0;0,083;39,0;0,455;-79,0;0,641;0,477;19,65;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_7.0mA;0,418;-128,0;7,909;87,0;0,08;40,0;0,423;-82,0;0,689;0,476;19,94;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_8.0mA;0,396;-133,0;8,055;85,0;0,078;41,0;0,396;-86,0;0,729;0,477;20,15;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_9.0mA;0,38;-138,0;8,146;83,0;0,076;42,0;0,373;-89,0;0,764;0,479;20,3;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_10mA;0,368;-143,0;8,191;82,0;0,075;42,0;0,354;-91,0;0,794;0,482;20,4;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_15mA;0,353;-163,0;7,832;77,0;0,072;44,0;0,277;-108,0;0,913;0,487;20,34;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_0.5V_IC_20mA;0,424;176,0;5,875;72,0;0,077;42,0;0,235;-150,0;1,083;0,458;17,09;GT(max);0.647;169.8;0.528;106.4; 10.81-j4.25; 22.86-j32.13;Despues L/4; j127.30;0.625 pF;23.25;Despues L/4; j35.57;2.237 pF;33.81
BFP520_w_noise_VCE_0.5V_IC_25mA;0,576;158,0;2,66;66,0;0,085;36,0;0,365;164,0;1,548;0,411;10,57;GT(max);0.56;-165.4;0.285;165.4; 14.30+j5.90; 28.17-j4.40;Antes L/4; j40.55;1.962 pF;28.92;Despues L/4; j319.86;0.249 pF;37.53
BFP520_w_noise_VCE_0.5V_IC_30mA;0,686;151,0;1,186;60,0;0,093;33,0;0,484;154,0;2,178;0,43;4,92;GT(max);0.651;-154.1;0.389;-165.9; 11.12+j10.95; 22.26+j4.99;Antes L/4; j22.24;3.579 pF;33.09;Antes L/4; j104.30;0.763 pF;34.19
BFP520_w_noise_VCE_0.5V_IC_35mA;0,749;147,0;0,713;54,0;0,098;32,0;0,55;152,0;2,565;0,472;1,69;GT(max);0.719;-149.4;0.47;-160.5; 8.78+j13.29; 18.47+j7.47;Antes L/4; j19.09;4.168 pF;38.02;Antes L/4; j53.16;1.497 pF;32.78
BFP520_w_noise_VCE_0.5V_IC_40mA;0,788;145,0;0,493;49,0;0,102;31,0;0,605;151,0;2,79;0,518;-0,49;GT(max);0.762;-146.9;0.537;-158.0; 7.36+j14.57; 15.56+j8.79;Antes L/4; j18.28;4.353 pF;42.55;Antes L/4; j36.32;2.191 pF;32.04
BFP520_w_noise_VCE_0.5V_IC_45mA;0,814;144,0;0,355;45,0;0,106;30,0;0,655;150,0;3,004;0,563;-2,4;GT(max);0.79;-145.5;0.599;-156.0; 6.43+j15.29; 13.06+j9.94;Antes L/4; j18.00;4.422 pF;46.27;Antes L/4; j27.10;2.936 pF;32.12
BFP520_w_noise_VCE_0.5V_IC_50mA;0,833;143,0;0,265;41,0;0,108;30,0;0,698;150,0;3,2;0,603;-4,06;GT(max);0.811;-144.6;0.651;-154.4; 5.74+j15.75; 11.09+j10.83;Antes L/4; j17.84;4.460 pF;49.47;Antes L/4; j22.19;3.585 pF;32.92
BFP520_w_noise_VCE_0.5V_IC_55mA;0,849;142,0;0,2;39,0;0,11;30,0;0,737;149,0;3,387;0,641;-5,61;GT(max);0.829;-143.9;0.697;-152.9; 5.17+j16.15; 9.41+j11.63;Antes L/4; j17.81;4.468 pF;52.73;Antes L/4; j19.24;4.136 pF;34.48
BFP520_w_noise_VCE_0.5V_IC_60mA;0,852;142,0;0,189;38,0;0,11;30,0;0,745;149,0;3,409;0,65;-5,89;GT(max);0.833;-143.7;0.707;-152.7; 5.06+j16.22; 9.07+j11.76;Antes L/4; j17.80;4.472 pF;53.43;Antes L/4; j18.76;4.242 pF;34.87
BFP520_w_noise_VCE_1.0V_IC_1.0mA;0,833;-66,0;3,218;120,0;0,107;50,0;0,817;-41,0;0,235;0,723;14,78;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_1.5mA;0,769;-74,0;4,409;115,0;0,101;47,0;0,773;-46,0;0,283;0,664;16,42;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_2.0mA;0,716;-80,0;5,277;111,0;0,095;46,0;0,735;-50,0;0,328;0,62;17,42;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_3.0mA;0,627;-89,0;6,553;104,0;0,087;44,0;0,669;-56,0;0,413;0,558;18,77;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_4.0mA;0,555;-97,0;7,466;100,0;0,08;44,0;0,612;-60,0;0,49;0,522;19,67;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_5.0mA;0,499;-103,0;8,101;96,0;0,076;44,0;0,567;-63,0;0,555;0,501;20,3;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_6.0mA;0,456;-108,0;8,562;93,0;0,072;45,0;0,531;-66,0;0,609;0,49;20,76;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_7.0mA;0,421;-112,0;8,905;91,0;0,069;46,0;0,501;-68,0;0,655;0,486;21,1;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_8.0mA;0,393;-116,0;9,164;89,0;0,067;47,0;0,477;-69,0;0,693;0,484;21,35;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_9.0mA;0,37;-119,0;9,365;88,0;0,065;48,0;0,456;-70,0;0,726;0,484;21,56;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_10mA;0,35;-122,0;9,524;86,0;0,064;48,0;0,439;-71,0;0,754;0,486;21,72;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_15mA;0,29;-135,0;9,928;82,0;0,06;51,0;0,379;-75,0;0,848;0,493;22,17;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_20mA;0,262;-146,0;9,995;80,0;0,059;54,0;0,344;-77,0;0,904;0,496;22,32;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_25mA;0,252;-155,0;9,862;79,0;0,058;55,0;0,317;-79,0;0,945;0,491;22,32;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
BFP520_w_noise_VCE_1.0V_IC_30mA;0,259;-165,0;9,481;77,0;0,058;55,0;0,289;-81,0;0,985;0,476;22,16;MGS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
